"country_long","total_capacity","renewable_capacity","renewable_capacity_proportion"
"Kazakhstan","18628.0","2360.0","0.12669100279149667168"
"South Africa","50422.70","6377.11","0.12647299728098653979"
"Indonesia","48751.418","5901.592","0.12105477629389159511"
"Jordan","4703.5","567.5","0.12065483150845115340"
"Egypt","34183.5","4106.5","0.12013105738148521948"
"Poland","37902.0","4484.0","0.11830510263310643238"
"Taiwan","37211.86","4134.86","0.11111672461414183543"
"Mongolia","904.0","100.0","0.11061946902654867257"
"Estonia","2541.9","277.9","0.10932766827963334514"
"Uzbekistan","12640.0","1240.0","0.09810126582278481013"
"Jamaica","792.5","73.5","0.09274447949526813880"
"Malaysia","28794.5","2282.5","0.07926861032488843356"
"South Korea","99472.68","6732.66","0.06768350867796062195"
"Cape Verde","92.805","5.0","0.05387640752114648995"
"Algeria","15873.8","694.8","0.04377023775025513740"
"Niger","167.20","7.0","0.04186602870813397129"
"Israel","14665.8","612.8","0.04178428725333769723"
"Tunisia","5052.2","196.2","0.03883456711927477139"
"United Arab Emirates","30327.0","840.0","0.02769809081016915620"
"Belarus","8534.9","232.9","0.02728795885130464329"
"Bangladesh","11840.0","263.0","0.02221283783783783784"
"Moldova","2914.0","64.0","0.02196293754289636239"
"Hungary","6290.7","84.6","0.01344842386379894129"
"Cuba","3796.8","19.2","0.00505689001264222503"
"Saudi Arabia","84341.549999999998200","137.0","0.00162434766731225597"
"Bahrain","7586.3","5.0","0.00065908282034720483"
"Kuwait","17829.5","10.0","0.00056086822401076867"
"Western Sahara","23.4","","0.00000000000000000000"
"Trinidad and Tobago","2144.6","","0.00000000000000000000"
"Libya","6231.0","","0.00000000000000000000"
"Singapore","13660.0","","0.000000000000000000000000"
"Brunei Darussalam","586.0","","0.00000000000000000000"
"Qatar","10548.0","","0.000000000000000000000000"
"Benin","60.5","","0.00000000000000000000"
"Cyprus","1468.0","","0.00000000000000000000"
"Turkmenistan","3454.0","","0.00000000000000000000"
"Gambia","70.4","","0.00000000000000000000"
"Kosovo","1478.0","","0.00000000000000000000"
"Djibouti","107.332","","0.00000000000000000000"
"Botswana","746.0","","0.00000000000000000000"
"Yemen","1045.0","","0.00000000000000000000"
"Eritrea","133.19","","0.00000000000000000000"
"Guinea-Bissau","18.237","","0.00000000000000000000"
"Lebanon","2070.3","","0.00000000000000000000"
